# 
# 01/18/2023 14:03:20
# The parameters defined in the project are:
# ,P1 - Group1 [in],P2 - Group2 [in],P3 - Group3 [m],P4 - Group4 [m],P5 - parameter-1 [J m^-2 s^-1],P6 - wall_0_t [K],P7 - wall_1i_t [K],P8 - wall_1o_t [K],P9 - wall_2i_t [K],P10 - wall_2o_t [K],P11 - wall_3i_t [K],P12 - wall_3o_t [K],P13 - wall_4i_t [K],P14 - wall_4o_t [K],P15 - wall_5i_t [K],P16 - wall_5o_t [K],P17 - wall_6i_t [K],P18 - wall_6o_t [K],P19 - wall_7i_t [K],P20 - wall_7o_t [K],P21 - wall_8i_t [K],P22 - wall_8o_t [K]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
DP 110,1.8677,4.1793,0.047439579999999995,0.10615421999999998,2786.85,327.58803,326.02429,329.77216,326.44385,327.42534,328.49814,325.11094,326.13169,325.34417,326.13361,328.98341,326.84154,325.34949,325.7514,325.06771,325.52058,326.26753
DP 111,1.9913,4.4188,0.05057902,0.11223752,2786.85,327.49219,326.31388,329.59889,326.89154,327.35752,328.53713,324.96577,326.12524,325.4638,326.04992,328.44444,326.95387,325.34744,325.76897,324.964,325.59124,326.24087
DP 112,2.0935,3.7293,0.053174900000000004,0.09472422,2786.85,327.62916,326.21343,329.56079,326.93676,327.3431,328.22875,324.9969,325.8052,325.75118,325.83157,327.48112,326.81156,325.70774,325.93261,324.98793,325.64066,326.0961
DP 113,2.3279,3.7867,0.05912866,0.09618218,2786.85,327.65271,326.36233,328.97387,326.90624,327.37655,329.05425,324.86532,325.68405,326.48036,325.70483,327.21629,326.80226,326.31712,325.72096,324.77949,325.61066,326.0792
DP 114,2.0068,3.8318,0.05097272,0.097327719999999993,2786.85,327.64622,326.21943,329.63122,327.20748,327.30324,328.74552,324.88292,325.96427,325.51898,325.8782,327.74533,326.87162,325.45368,326.02416,324.91067,325.53807,326.0552
DP 115,1.8219,3.8628999999999998,0.04627626,0.09811766,2786.85,327.66432,325.33419,330.093,326.20156,327.30841,327.84929,325.26229,326.23585,325.25747,326.23296,329.06262,326.86422,325.30349,325.75009,325.08451,325.38238,326.28669
DP 116,1.9082,3.6987,0.048468279999999996,0.09394698,2786.85,327.72023,326.11381,329.64762,326.97609,327.16042,328.79098,324.87535,325.72154,325.35759,325.92552,328.07381,326.6245,325.34712,325.81001,324.96763,325.43293,326.07516
DP 117,1.9138,3.6319,0.04861052,0.09225026,2786.85,327.69181,326.12318,329.94274,327.07957,327.32384,328.03763,324.97095,325.7192,325.57557,325.91581,327.93292,326.89552,325.2705,326.04454,325.0085,325.584,326.12519
DP 118,2.3094,3.6057,0.05865876,0.09158478,2786.85,327.7599,326.23355,328.8531,326.72958,327.27122,328.89243,324.8162,325.59417,327.0718,325.79678,326.93646,327.05961,327.10298,325.67376,324.95008,325.42687,326.06092
DP 119,1.9191,4.3645,0.04874514,0.11085829999999998,2786.85,327.42286,326.30718,329.52752,326.84518,327.32052,328.77233,325.02229,325.95564,325.35241,326.1144,328.8116,327.21821,325.43155,325.97933,325.02506,325.61297,326.20535
DP 120,1.8935,4.5382,0.048094899999999996,0.11527027999999999,2786.85,327.52558,326.2773,329.51529,326.73732,327.52182,329.01683,325.10914,326.19436,325.52061,326.37176,328.93486,327.0178,325.44023,325.8175,325.01789,325.68563,326.16351
DP 121,2.0431,4.2667,0.051894739999999995,0.10837418,2786.85,327.73388,326.32532,329.57364,326.80671,327.41558,329.17935,325.02323,326.08475,325.39768,326.17002,328.27542,326.80736,325.34558,325.9015,325.08409,325.67511,326.23427
DP 122,2.1459,3.4624,0.05450586,0.08794496,2786.85,327.77254,326.25301,329.43235,326.99415,327.35412,328.89736,324.89677,325.87618,326.59682,325.74416,327.1787,327.1495,326.79174,325.96987,324.86677,325.60952,326.17425
DP 123,1.679,4.4563,0.0426466,0.11319001999999999,2786.85,329.41182,323.41779,329.77301,323.70621,327.34113,323.42213,324.88609,326.29973,324.92255,326.18675,331.70333,324.49012,325.02281,324.33635,324.89863,324.16282,326.06014
DP 124,2.1098,4.343,0.05358892,0.1103122,2786.85,327.66785,326.33988,329.34583,326.92739,327.25604,329.14118,324.92743,325.91124,325.46855,326.09601,328.16313,327.07872,325.39343,326.01356,324.98704,325.60093,326.10879
DP 125,1.7639,4.4771,0.04480306,0.11371834,2786.85,328.44888,325.01169,329.69096,325.44179,327.2419,326.65631,324.97599,326.27268,325.23663,326.44307,330.40052,325.54501,325.1125,325.16041,324.99339,324.99102,326.17383
DP 126,1.8486,3.4842,0.04695444,0.08849868,2786.85,327.79912,325.73246,330.22699,326.58161,327.32197,328.05435,325.08486,325.94215,325.64198,325.81222,328.2508,326.37604,325.65478,325.69692,325.01372,325.42135,326.19273
DP 127,2.1684,3.769,0.05507736,0.0957326,2786.85,327.77826,326.35951,329.43933,326.78016,327.31838,328.70681,324.88875,325.61903,325.87137,325.9238,327.23741,327.17967,325.89588,326.07535,324.8792,325.58794,326.02443
DP 128,1.6816,3.9866,0.042712639999999996,0.10125964,2786.85,329.15398,323.25645,329.91635,323.71251,327.22688,323.36912,324.91719,326.20076,324.94001,325.99136,331.13696,324.45274,324.96394,324.31382,324.88141,324.00074,326.1445
DP 129,2.2395,4.3823,0.0568833,0.11131042,2786.85,327.6029,326.53047,329.3842,327.19571,327.40741,328.92046,324.91389,325.98743,325.37276,325.79741,327.69251,326.9008,325.4069,325.91973,324.89524,325.60484,326.14274
DP 130,1.9255,4.5131,0.0489077,0.11463273999999998,2786.85,327.48632,326.34504,329.44709,326.88544,327.18384,328.90803,324.93842,326.18065,325.51324,326.0509,328.54308,327.09045,325.3868,325.80977,324.95567,325.54681,326.13607
DP 131,2.2502,3.781,0.05715508,0.0960374,2786.85,327.81194,326.36805,329.22425,326.8804,327.19782,328.86568,324.79577,325.79598,326.11259,325.74535,327.2952,326.86319,326.05673,325.93235,324.86602,325.52151,326.06841
DP 132,1.7405,3.8725,0.0442087,0.098361499999999991,2786.85,328.78719,324.3643,330.1247,324.8951,327.3026,325.02329,325.10907,326.23235,325.08324,326.09443,330.12771,325.53936,325.19298,325.07702,325.0982,324.77769,326.15194
DP 133,1.7995,3.3495,0.0457073,0.0850773,2786.85,328.19474,325.14352,330.40001,326.06104,327.49393,326.62083,324.82034,325.79166,325.64884,325.70098,328.30974,326.33572,325.57863,325.90633,324.87657,325.06066,326.0397
DP 134,2.1503,4.5643,0.05461762,0.11593322,2786.85,327.50737,326.20484,329.20074,326.74816,327.41074,328.72225,325.12641,326.071,325.5371,326.01428,327.95672,326.96056,325.55362,326.06397,325.03865,325.76695,326.22081
DP 135,2.0992,4.0836,0.05331968,0.10372343999999999,2786.85,327.56347,326.1958,329.52642,326.98581,327.37285,328.86378,325.06078,325.99949,325.62132,325.94782,327.93754,327.26437,325.45201,326.17747,325.08427,325.70175,326.20286
DP 136,2.2783,4.2745,0.05786882,0.10857229999999998,2786.85,327.66059,326.21569,329.33844,326.86867,327.2959,328.59731,324.92891,326.02751,325.48556,325.89277,327.65066,326.66159,325.49248,325.91791,324.92707,325.62801,326.17606
DP 137,1.8182,4.1522,0.04618228,0.10546587999999998,2786.85,327.87576,325.47247,329.55385,326.30289,327.20051,327.95282,325.01986,326.25262,325.31222,326.26543,329.40113,326.26205,325.18691,325.52181,324.99883,325.25887,326.13059
DP 138,1.834,3.304,0.0465836,0.0839216,2786.85,327.89973,325.60277,330.14606,326.52972,327.23982,327.73638,324.84868,325.92896,325.81406,325.82729,328.0568,326.30247,325.80827,325.65475,324.89897,325.22738,326.14771
DP 139,2.0558,3.8347,0.05221732,0.09740138,2786.85,327.58522,326.20734,329.55506,327.14619,327.09467,328.69484,324.99821,326.0276,325.58921,325.87511,327.72634,327.03508,325.61298,325.96526,325.02217,325.65249,326.13455
DP 140,1.8455,4.6581,0.0468757,0.11831574,2786.85,327.81518,325.69998,329.51043,326.22006,327.20152,328.41822,325.14019,326.31134,325.42771,326.29669,329.42669,326.61471,325.39477,325.69617,325.09495,325.55563,326.21507
DP 141,1.9758,3.333,0.05018532,0.0846582,2786.85,327.88228,326.04801,329.84747,327.40109,327.1851,328.96603,324.85912,325.77271,326.25633,325.79625,327.43225,326.7641,326.60161,325.86138,324.93788,325.41794,326.11516
DP 142,2.2804,3.5969,0.05792216,0.09136126,2786.85,327.37976,326.18819,329.25602,326.72818,327.35327,328.69706,324.98068,325.64718,326.89254,325.75704,327.07444,327.06871,327.02966,325.91988,325.0279,325.64928,326.17642
DP 143,1.714,4.1856,0.0435356,0.10631423999999999,2786.85,328.91142,323.87048,329.61707,324.31329,327.46142,323.93036,325.0708,326.3805,324.96332,326.12556,330.82345,325.01213,325.06741,324.90057,324.99631,324.50821,326.19751
DP 144,2.2742,4.0387,0.05776468,0.10258298,2786.85,327.71834,326.23507,329.31234,327.19384,327.41306,328.9428,324.94624,325.91134,325.82657,325.80366,327.49646,327.05269,325.7424,326.02562,324.95399,325.58761,326.19266
DP 145,1.9284,4.0521,0.048981359999999995,0.10292334,2786.85,327.51612,326.17456,329.59096,327.03929,327.45305,328.83827,325.07888,326.1432,325.37415,326.17829,328.44788,326.56771,325.41348,326.04966,325.04026,325.68095,326.16392
DP 146,2.2652,3.8492,0.05753608,0.09776968,2786.85,327.54136,326.21661,329.2825,326.92274,327.4112,328.91273,324.89101,325.73067,326.0836,325.65074,327.36172,326.8259,325.99703,325.9226,324.93168,325.57174,326.03094
DP 147,1.7515,3.5637,0.0444881,0.09051798,2786.85,328.62019,324.48719,330.18919,325.23504,327.2304,326.20587,325.03211,326.01043,325.22593,326.05535,329.29703,325.72286,325.37398,325.1565,325.03101,324.80727,326.15069
DP 148,1.7434,3.8176,0.04428236,0.09696704,2786.85,328.4125,324.65434,330.24038,324.97038,327.3295,325.49311,324.96137,326.04486,325.01305,325.93885,329.73923,325.42515,325.01329,324.98281,325.00506,324.64848,326.15742
DP 149,2.2155,4.1108,0.056273699999999996,0.10441432,2786.85,327.7105,326.31052,329.29307,327.34762,327.33633,329.21588,324.93704,325.93685,325.448,325.90325,327.5436,326.85432,325.50359,326.02001,324.94742,325.64796,326.1469
DP 150,1.9714,3.8221,0.050073559999999996,0.097081339999999988,2786.85,327.73854,326.03857,329.67285,327.12686,327.1281,328.93969,324.99325,325.89751,325.4671,326.03734,327.8298,326.87904,325.2944,325.93934,324.97695,325.49716,326.24641
DP 151,2.0357,4.1445,0.051706779999999994,0.1052703,2786.85,327.56952,326.23734,329.36388,327.06408,327.44487,328.91408,324.95574,325.96635,325.3011,325.99895,328.1397,326.85191,325.34815,325.96245,324.94564,325.56399,326.21862
DP 152,2.1598,3.6586,0.05485892,0.092928439999999987,2786.85,327.57215,326.38023,329.46279,327.04023,327.1486,329.07764,324.93025,325.83992,326.22281,325.87737,327.28729,326.81145,326.10022,325.90199,324.8567,325.67253,326.08793
DP 153,2.0244,4.4932,0.051419759999999995,0.11412728,2786.85,327.57491,326.35215,329.25151,326.88642,327.40362,329.09624,324.98723,326.14176,325.44825,326.01414,328.28817,326.87649,325.28127,325.83235,324.96413,325.69811,326.14275
DP 154,2.2364,3.9592,0.056804560000000004,0.10056368,2786.85,327.62083,326.2755,329.28995,326.85941,327.33054,329.16024,324.98994,325.88133,325.74772,325.77799,327.50314,327.05497,325.71521,326.0839,325.0804,325.65214,326.16967
DP 155,1.6648,4.4334,0.04228592,0.11260835999999999,2786.85,329.48166,323.16633,329.65739,323.41334,327.26077,323.48103,324.84708,326.26792,324.93256,326.34802,331.82187,324.30623,324.90701,324.09919,324.87359,323.91394,326.05851
DP 156,1.7069,4.245,0.04335526,0.107823,2786.85,328.83506,323.75377,329.81881,324.35684,327.23744,324.63765,324.95793,326.16152,325.08105,326.41226,331.08755,324.51008,325.04192,324.59831,324.99316,324.39645,326.22509
DP 157,2.0075,3.9035,0.050990499999999994,0.0991489,2786.85,327.64989,326.20584,329.83387,327.34926,327.25566,329.24647,324.94083,326.00706,325.42657,325.86719,327.90167,326.87435,325.41753,325.88303,324.92787,325.59458,326.11601
DP 158,1.8992,4.3187,0.04823968,0.10969497999999998,2786.85,327.61577,326.12399,329.42123,326.59422,327.39016,328.90774,325.07437,326.23791,325.30889,326.17694,328.90178,327.03893,325.42245,325.79983,325.0852,325.6939,326.17751
DP 159,1.7503,4.0986,0.044457619999999996,0.10410444,2786.85,328.74753,324.58001,330.03409,325.07026,327.26358,325.32325,324.99499,326.22593,325.16547,326.00573,330.16561,325.60836,325.17753,325.13618,324.9495,324.72772,326.14347
DP 160,2.1909,4.6331,0.05564886,0.11768073999999999,2786.85,327.56683,326.55543,329.24464,326.95356,327.38218,328.86403,325.06503,326.02458,325.53,326.00523,327.83161,326.94303,325.54191,326.01628,324.93683,325.69979,326.17574
DP 161,1.7097,4.4859,0.04342638,0.11394185999999999,2786.85,329.15993,324.09148,329.55587,324.23939,327.28896,324.35937,325.03481,326.3882,325.15384,326.27382,331.01185,324.62323,325.1089,324.64789,324.98048,324.41601,326.14336
DP 162,1.9847,3.7261,0.05041138,0.09464294,2786.85,327.5778,326.13152,329.78645,327.07195,327.27801,329.0972,325.02603,325.97268,325.43103,325.9115,327.79537,326.82909,325.5456,325.8401,325.01368,325.52528,326.17354
DP 163,1.6972,3.5779,0.04310888,0.09087866,2786.85,328.70025,323.46137,330.29748,323.99862,327.42554,323.92417,325.12299,326.09571,325.13413,326.05385,330.70254,324.70714,325.14324,324.61016,325.07064,324.22284,326.21205
DP 164,2.065,3.7551,0.052451,0.09537954,2786.85,327.58394,326.22813,329.47905,327.29383,327.34759,329.19994,324.93424,325.86699,325.69427,325.76909,327.6738,326.80318,325.65198,325.96666,324.90114,325.57705,326.07187
DP 165,1.8904,4.1244,0.04801616,0.10475975999999998,2786.85,327.52265,326.16612,329.61733,326.73345,327.1752,327.95097,325.11071,326.10429,325.28873,326.1938,328.70884,327.14517,325.32876,326.08698,325.14546,325.6417,326.24762
DP 166,2.2664,4.0882,0.057566559999999996,0.10384027999999998,2786.85,327.70573,326.40004,329.25167,327.1939,327.43735,329.08693,324.8851,325.81631,325.55435,325.89963,327.4515,326.94438,325.59052,326.05755,324.98302,325.64532,326.19282
DP 167,2.0778,4.2499,0.052776119999999996,0.10794746,2786.85,327.62457,326.36585,329.41916,326.94042,327.48392,328.96558,324.90483,325.92403,325.3405,325.98055,328.04304,326.95791,325.3382,325.99333,324.96354,325.61403,326.12171
DP 168,1.6587,3.4709,0.04213098,0.08816086,2786.85,329.56739,322.61122,330.54484,323.36798,327.35014,323.62576,324.87216,325.73732,325.22063,325.98487,330.55699,324.15163,325.08319,324.15103,324.88946,323.75986,326.03329
DP 169,2.0517,4.523,0.052113179999999995,0.11488419999999999,2786.85,327.68634,326.33988,329.39469,327.1035,327.25677,328.71012,324.99943,326.0564,325.57122,326.14314,328.18896,326.88459,325.44666,326.00494,325.00628,325.66908,326.23536
DP 170,1.8634,4.2223,0.047330359999999995,0.10724642,2786.85,327.74247,326.01108,329.75969,326.31124,327.36191,328.25986,325.04384,326.13304,325.28353,326.1505,328.94305,326.62187,325.30805,325.62609,325.00716,325.50479,326.11942
DP 171,2.1777,4.4625,0.05531358,0.1133475,2786.85,327.55097,326.4179,329.17279,327.21977,327.3328,328.85746,325.05084,326.00277,325.53198,325.9544,328.06142,326.87269,325.55412,325.80297,324.9959,325.67994,326.24694
DP 172,2.0699,3.5496,0.05257546,0.090159839999999991,2786.85,327.72883,326.27487,329.63955,327.14777,327.18091,328.70891,324.83048,325.68276,326.16373,325.7281,327.23058,327.01269,326.03798,326.00644,324.84257,325.59712,325.98681
DP 173,2.0825,3.68,0.0528955,0.093472,2786.85,327.7082,326.29975,329.62922,327.34007,327.27583,329.1146,324.79495,325.67778,325.7087,325.61556,327.29653,326.56398,325.68161,325.88772,324.8882,325.58977,326.03262
DP 174,1.6517,3.3586,0.04195318,0.08530844,2786.85,329.68765,322.39175,330.49656,323.14678,327.23905,322.97146,324.81487,325.93095,325.13764,325.59618,330.54273,324.15917,325.06646,324.08917,324.81634,323.65757,326.02036
DP 175,2.114,3.5414,0.053695599999999996,0.08995156,2786.85,327.55363,326.40348,329.64665,326.89717,327.04609,328.5832,324.81484,325.7589,326.27724,325.76402,327.09689,326.99419,326.26769,326.07967,324.85132,325.57329,326.02974
DP 176,1.7369,4.0105,0.04411726,0.1018667,2786.85,328.67875,324.46449,330.09933,324.89911,327.38982,325.35976,324.98954,326.24983,324.99796,326.03289,330.20346,325.21532,325.13893,324.8981,324.99217,324.65838,326.19486
DP 177,1.7225,3.3464,0.0437515,0.08499856,2786.85,328.74436,323.90566,330.45323,324.69665,327.48032,325.0335,324.91193,325.87533,325.4452,325.71518,329.5595,325.03131,325.61908,324.8169,324.88397,324.38935,326.11552
DP 178,1.7766,4.4244,0.045125639999999995,0.11237976000000001,2786.85,328.19661,325.22349,329.59252,325.39942,327.26001,326.30979,324.84715,326.33336,325.25195,326.21702,329.87418,325.86669,325.07823,325.11948,324.91071,324.92763,326.09217
DP 179,2.1233,3.6485,0.05393182,0.092671899999999988,2786.85,327.67592,326.29519,329.73916,327.02397,327.30455,328.75855,324.93317,325.78276,326.35459,325.79883,327.35609,326.68884,325.93824,325.99443,324.82319,325.62102,326.1109
DP 180,1.9574,3.6184,0.04971796,0.09190736,2786.85,327.70504,326.11682,329.78967,327.12188,327.15615,329.15112,324.89552,325.92037,325.51111,325.75114,327.57714,326.72931,325.38825,325.76906,324.95266,325.52749,326.05235
DP 181,2.0153,3.9375,0.05118862,0.10001249999999999,2786.85,327.62717,326.39004,329.7638,327.00935,327.16445,328.55535,324.97459,325.97011,325.48787,325.90422,327.98781,326.96112,325.25577,326.02412,325.00016,325.60953,326.13819
DP 182,1.8531,3.7952,0.04706874,0.09639808,2786.85,327.88881,325.85366,329.7531,326.29847,327.27143,328.02376,325.05992,325.88191,325.37675,326.0531,328.55923,326.60328,325.31539,325.75397,325.09444,325.41427,326.20045
DP 183,2.2453,3.5236,0.05703062,0.08949944,2786.85,327.4556,326.31407,328.98387,326.63913,327.45303,329.14027,325.09606,325.68399,327.02966,325.57946,327.06303,326.70116,327.04182,325.82007,325.10468,325.65004,326.17304
DP 184,2.0883,4.0058,0.053042819999999991,0.10174731999999999,2786.85,327.55683,326.29246,329.67186,327.23128,327.5287,328.79002,325.14811,325.86591,325.57509,326.05789,327.86841,327.06201,325.46549,326.13017,325.23496,325.71919,326.25122
DP 185,2.0868,3.5696,0.053004720000000005,0.09066784,2786.85,327.72486,326.35248,329.47532,327.24871,327.15701,328.49907,324.91425,325.62747,326.1968,325.67548,327.32282,326.99145,325.94386,325.98391,324.96617,325.58258,326.07706
DP 186,2.3013,3.3095,0.058453019999999994,0.084061299999999992,2786.85,327.53769,325.82278,328.37011,328.70841,327.74347,328.85406,325.03707,325.67283,326.70016,325.79559,327.33747,326.95163,326.68591,326.9174,325.05979,325.36109,326.28104
DP 187,1.9027,4.6461,0.04832858,0.11801093999999998,2786.85,327.67964,326.15095,329.38655,326.6351,327.37197,328.4821,324.98666,326.25298,325.40709,326.3274,328.99532,326.87293,325.46476,325.79262,325.0879,325.66629,326.16735
DP 188,2.2896,3.8072,0.05815584,0.096702879999999991,2786.85,327.7005,326.3535,329.02415,326.9631,327.2959,329.48428,324.91405,325.61517,326.12118,325.8012,327.29643,326.99303,326.27133,325.86303,324.88605,325.56326,326.09871
DP 189,1.7605,4.399,0.0447167,0.11173459999999999,2786.85,328.40079,325.00353,329.23872,325.23179,327.27348,326.69179,324.99014,326.25848,325.17686,326.34217,329.99095,325.51678,325.16203,325.16176,325.0109,324.77516,326.16995
DP 190,2.1346,3.3806,0.05421883999999999,0.08586724,2786.85,327.70264,326.23603,329.37489,326.43805,327.32602,328.47263,325.05713,325.77228,327.03137,325.78944,327.18713,327.02884,327.1833,325.79156,325.01404,325.67656,326.16824
DP 191,2.3248,3.9092,0.059049920000000006,0.09929368,2786.85,327.73483,326.08671,329.12173,326.81518,327.2666,328.42217,324.72669,325.77058,325.80282,325.61558,327.26137,326.77266,325.93598,325.96095,324.84779,325.47606,326.01461
DP 192,1.8262,4.0269,0.04638548,0.10228326,2786.85,327.76081,325.6761,329.55679,326.10647,327.40883,328.32033,325.10883,326.24569,325.34762,326.2653,329.37108,326.57806,325.21675,325.67848,325.05376,325.27611,326.22376
DP 193,1.783,3.611,0.045288199999999994,0.0917194,2786.85,328.06118,324.94993,330.13356,325.61757,327.3727,326.26632,324.89483,325.99806,325.14016,326.12799,328.92442,325.96512,325.29394,325.2967,324.88153,324.95082,326.05611
DP 194,2.1872,4.0757,0.055554879999999994,0.10352278000000001,2786.85,327.72922,326.32548,329.42147,327.24629,327.2099,328.67255,325.0598,325.94968,325.59245,325.98867,327.63935,327.03983,325.47765,325.99697,325.00733,325.71476,326.19114
DP 195,2.1518,4.206,0.054655720000000005,0.10683240000000001,2786.85,327.65597,326.28456,329.44534,327.03225,327.41436,329.27985,324.92899,325.94038,325.55138,325.94156,328.00242,327.04702,325.35529,325.97014,324.9478,325.67395,326.0577
DP 196,1.7329,4.5087,0.04401566,0.11452098,2786.85,328.91734,324.49964,329.75351,325.08973,327.29573,325.79868,324.98334,326.26066,325.20391,326.29385,330.67828,325.40429,325.32531,324.96638,324.96648,324.75139,326.104
DP 197,1.9112,3.4039,0.04854448,0.08645906,2786.85,327.82341,326.12902,329.97191,327.01532,327.27947,328.50639,325.0575,325.98256,326.07299,325.91074,327.55181,326.82674,325.79387,326.04933,324.9615,325.58772,326.16814
DP 198,2.2101,4.1706,0.056136540000000006,0.10593324,2786.85,327.68926,326.26583,329.28638,327.1662,327.35813,328.51993,324.87095,325.94163,325.40418,325.91466,327.80078,327.09107,325.4582,326.12351,325.02051,325.54945,326.18586
DP 199,2.1388,4.0155,0.054325519999999995,0.1019937,2786.85,327.50643,326.22849,329.37244,327.08744,327.26561,328.8965,325.10739,325.95652,325.68576,326.08549,327.72419,326.93785,325.54903,325.9983,325.07671,325.69468,326.20495
DP 200,2.1066,4.6048,0.053507639999999995,0.11696192,2786.85,327.54831,326.34396,329.47518,326.96889,327.40823,328.93582,324.91252,325.9435,325.42881,325.91048,328.06705,326.82197,325.39541,325.82745,324.92338,325.67682,326.07535
